state,total,tpc
CA,513340,12992
NY,310103,15941
TX,307047,10589
FL,225101,10481
PA,158228,12360
IL,154217,12170
MI,125043,12521
OH,124266,10631
NJ,120332,13548
GA,116989,11019
MA,97834,14194
NC,95126,9070
WA,83785,11003
VA,81144,9507
AZ,71763,9859
MD,69869,11557
TN,65270,9557
IN,64597,9595
MN,62561,11093
CO,60353,10480
MO,58764,9575
LA,56969,12255
WI,55279,9494
SC,46877,9105
AL,45529,9286
OR,45313,10743
KY,42602,9536
CT,42529,11929
OK,38591,9753
NV,37866,12293
MS,31254,10502
IA,30972,9817
KS,28119,9652
AR,28005,9280
UT,27806,8673
NM,21699,10349
NE,20183,10434
HI,20158,14237
ID,18182,10174
WV,17742,9900
ME,16414,12211
NH,15515,11410
RI,15394,14531
DC,14581,20660
MT,12466,11664
DE,11965,12287
SD,11029,12466
ND,10896,14299
AK,10688,14610
VT,9845,15778
WY,8133,14052
